1.431133,-0.034094
1.421824,0.069183
1.433351,0.098229
1.421383,0.158194
1.421058,0.231083
1.412946,0.316160
1.407089,0.358311
1.351546,0.421672
1.351510,0.444955
1.270180,0.524344
1.248818,0.552163
1.227999,0.645449
1.163964,0.681605
1.127881,0.742417
1.093717,0.731629
1.035269,0.818142
0.995709,0.856815
0.920622,0.864614
0.899826,0.875760
0.840503,0.936342
0.745803,0.939573
0.705782,0.957078
0.650144,0.945189
0.562958,0.999393
0.494700,0.971885
0.444073,0.964511
0.380067,0.997956
0.306974,0.999172
0.281578,0.941560
0.198387,0.950192
0.163312,0.926132
0.101070,0.944083
0.005519,0.877475
-0.027476,0.891826
-0.086174,0.840782
-0.106667,0.784554
-0.185149,0.731138
-0.230398,0.726192
-0.293572,0.667747
-0.329563,0.643228
-0.356097,0.573136
-0.414228,0.509095
-0.429121,0.439706
-0.458692,0.397468
-0.485377,0.353713
-0.503380,0.295691
-0.502852,0.224325
-0.525638,0.195113
-0.567330,0.134409
-0.533924,0.080026
-0.570141,-0.027655
-0.533187,-0.081941
-0.528220,-0.119637
-0.527843,-0.177749
-0.527824,-0.269921
-0.496890,-0.343997
-0.449909,-0.396086
-0.450885,-0.422149
-0.419563,-0.497350
-0.417230,-0.535603
-0.372173,-0.603541
-0.321498,-0.630145
-0.294220,-0.685446
-0.226803,-0.723582
-0.156361,-0.790768
-0.116603,-0.823468
-0.076257,-0.837314
-0.030938,-0.907257
0.019692,-0.936145
0.114209,-0.968912
0.157834,-0.938512
0.216274,-0.981999
0.257792,-1.020924
0.323533,-0.979320
0.417361,-0.986884
0.483523,-1.031617
0.495897,-0.993604
0.591481,-0.994463
0.653766,-0.994639
0.699970,-0.963220
0.752571,-0.935700
0.816336,-0.940027
0.874203,-0.935885
0.955665,-0.879449
0.960879,-0.832548
1.034794,-0.832186
1.112084,-0.753704
1.127042,-0.729528
1.203061,-0.715801
1.243839,-0.660799
1.265434,-0.617344
1.270816,-0.530582
1.307624,-0.493616
1.349653,-0.423318
1.411731,-0.353793
1.385763,-0.349489
1.392565,-0.282096
1.428824,-0.228455
1.423993,-0.110921
1.458174,-0.091648
1.487026,0.015101
1.493692,0.068592
1.513121,0.111915
1.513585,0.189193
1.456268,0.246758
1.475303,0.289208
1.464892,0.366058
1.407292,0.421495
1.372926,0.484764
1.340706,0.556276
1.291941,0.566474
1.307173,0.641968
1.214787,0.700667
1.182110,0.746726
1.132963,0.753363
1.106668,0.807968
1.049540,0.836998
0.983786,0.899604
0.929245,0.930554
0.899908,0.907204
0.846504,0.984799
0.754959,0.953889
0.697052,0.986373
0.623046,0.994586
0.591732,0.991137
0.502182,1.024381
0.474101,1.003514
0.395280,1.022502
0.349139,0.999233
